month,festival,season,product_name,tags
1,Makar Sankranti,Winter,Black T-shirt,"Summer, Casual, Youth"
1,Makar Sankranti,Winter,Women’s Casual Kurti,"Festive, Traditional, Casual"
1,Makar Sankranti,Winter,Full-sleeve Denim Jacket,"Winter, Layering, Trendy"
1,Makar Sankranti,Winter,Kids Printed Hoodie,"Winter, Kidswear, Warm"
2,Vasant Panchami,Winter,Kids Printed Hoodie,"Winter, Kidswear, Warm"
2,Vasant Panchami,Winter,Full-sleeve Denim Jacket,"Winter, Layering, Trendy"
2,Vasant Panchami,Winter,Black T-shirt,"Summer, Casual, Youth"
2,Vasant Panchami,Winter,Women’s Casual Kurti,"Festive, Traditional, Casual"
3,Holi,Spring,Kids Printed Hoodie,"Winter, Kidswear, Warm"
3,Holi,Spring,Full-sleeve Denim Jacket,"Winter, Layering, Trendy"
3,Holi,Spring,Cotton Shorts,"Summer, Casual, Outdoor"
3,Holi,Spring,Black T-shirt,"Summer, Casual, Youth"
3,Holi,Spring,Women’s Casual Kurti,"Festive, Traditional, Casual"
5,None,Summer,Black T-shirt,"Summer, Casual, Youth"
5,None,Summer,Women’s Casual Kurti,"Festive, Traditional, Casual"
5,None,Summer,Cotton Shorts,"Summer, Casual, Outdoor"
5,Eid al-Fitr,Summer,Cotton Shorts,"Summer, Casual, Outdoor"
5,Eid al-Fitr,Summer,Black T-shirt,"Summer, Casual, Youth"
5,Eid al-Fitr,Summer,Women’s Casual Kurti,"Festive, Traditional, Casual"
6,None,Monsoon,Black T-shirt,"Summer, Casual, Youth"
6,None,Monsoon,Cotton Shorts,"Summer, Casual, Outdoor"
6,None,Monsoon,Transparent Raincoat,"Monsoon, Rainwear, Utility"
6,None,Monsoon,Women’s Casual Kurti,"Festive, Traditional, Casual"
7,Muharram,Monsoon,Women’s Casual Kurti,"Festive, Traditional, Casual"
7,Muharram,Monsoon,Transparent Raincoat,"Monsoon, Rainwear, Utility"
7,Muharram,Monsoon,Black T-shirt,"Summer, Casual, Youth"
7,Muharram,Monsoon,Cotton Shorts,"Summer, Casual, Outdoor"
8,Raksha Bandhan,Monsoon,Women’s Casual Kurti,"Festive, Traditional, Casual"
8,Raksha Bandhan,Monsoon,Transparent Raincoat,"Monsoon, Rainwear, Utility"
8,Raksha Bandhan,Monsoon,Cotton Shorts,"Summer, Casual, Outdoor"
8,Raksha Bandhan,Monsoon,Black T-shirt,"Summer, Casual, Youth"
9,Ganesh Chaturthi,Monsoon,Women’s Casual Kurti,"Festive, Traditional, Casual"
9,Ganesh Chaturthi,Monsoon,Full-sleeve Denim Jacket,"Winter, Layering, Trendy"
9,Ganesh Chaturthi,Monsoon,Cotton Shorts,"Summer, Casual, Outdoor"
9,Eid al-Adha,Monsoon,Black T-shirt,"Summer, Casual, Youth"
9,Eid al-Adha,Monsoon,Cotton Shorts,"Summer, Casual, Outdoor"
9,Eid al-Adha,Monsoon,Women’s Casual Kurti,"Festive, Traditional, Casual"
9,Eid al-Adha,Monsoon,Full-sleeve Denim Jacket,"Winter, Layering, Trendy"
10,Durga Puja,Autumn,Full-sleeve Denim Jacket,"Winter, Layering, Trendy"
10,Durga Puja,Autumn,Cotton Shorts,"Summer, Casual, Outdoor"
10,Durga Puja,Autumn,Black T-shirt,"Summer, Casual, Youth"
10,Durga Puja,Autumn,Kids Printed Hoodie,"Winter, Kidswear, Warm"
10,Guru Nanak Jayanti,Autumn,Women’s Casual Kurti,"Festive, Traditional, Casual"
10,Guru Nanak Jayanti,Autumn,Cotton Shorts,"Summer, Casual, Outdoor"
10,Guru Nanak Jayanti,Autumn,Black T-shirt,"Summer, Casual, Youth"
10,Guru Nanak Jayanti,Autumn,Full-sleeve Denim Jacket,"Winter, Layering, Trendy"
11,Diwali,Autumn,Women’s Casual Kurti,"Festive, Traditional, Casual"
11,Diwali,Autumn,Black T-shirt,"Summer, Casual, Youth"
11,Diwali,Autumn,Full-sleeve Denim Jacket,"Winter, Layering, Trendy"
11,Diwali,Autumn,Kids Printed Hoodie,"Winter, Kidswear, Warm"
12,Christmas,Winter,Kids Printed Hoodie,"Winter, Kidswear, Warm"
12,Christmas,Winter,Women’s Casual Kurti,"Festive, Traditional, Casual"
12,Christmas,Winter,Black T-shirt,"Summer, Casual, Youth"
12,Christmas,Winter,Kids Printed Hoodie,"Winter, Kidswear, Warm"
12,Christmas,Winter,Women’s Casual Kurti,"Festive, Traditional, Casual"
12,Christmas,Winter,Full-sleeve Denim Jacket,"Winter, Layering, Trendy"
12,Christmas,Winter,Black T-shirt,"Summer, Casual, Youth"
12,Christmas,Winter,Full-sleeve Denim Jacket,"Winter, Layering, Trendy"
